file_name,relative_path,file_type,data_scope,row_count,column_count,database_or_json_objects,file_size_bytes,sha256,analysis_date_utc,suspected_grain,candidate_primary_key,candidate_foreign_keys,patient_identifier_available,event_date_available,inspection_error
eligibility.csv,data/releases/BAYER_PROSTATE_PATIENT_JOURNEY_SYNTHETIC_v2.1.0_20260825T112627Z/analytical_dataset/eligibility.csv,csv,certified_analytical_dataset,10000,20,eligibility_id; patient_id; market_code; mhspc_flag; eligibility_flag; eligible_for_arpi; eligibility_status; eligibility_date; eligibility_reason; ineligibility_reason; clinical_exclusion_reason; contraindication_flag; contraindication_reason; data_sufficiency_flag; possible_followup_days; minimum_followup_required_days; eligibility_rule_version; source_assumption; censor_date_at_generation; synthetic_event_flag,2819933,6cb20699c9c1092e1a8488c88e07347bee28e377662c47285d5bef64709ed0c9,2026-08-28,one versioned eligibility assessment per patient,eligibility_id,patient_id->patient.patient_id,True,True,
eligibility.parquet,data/releases/BAYER_PROSTATE_PATIENT_JOURNEY_SYNTHETIC_v2.1.0_20260825T112627Z/analytical_dataset/eligibility.parquet,parquet,certified_analytical_dataset,10000,20,eligibility_id; patient_id; market_code; mhspc_flag; eligibility_flag; eligible_for_arpi; eligibility_status; eligibility_date; eligibility_reason; ineligibility_reason; clinical_exclusion_reason; contraindication_flag; contraindication_reason; data_sufficiency_flag; possible_followup_days; minimum_followup_required_days; eligibility_rule_version; source_assumption; censor_date_at_generation; synthetic_event_flag,207589,175660055ca3091ada50631fccf49b106e124d0c3f267521761cff53ae650958,2026-08-28,one versioned eligibility assessment per patient,eligibility_id,patient_id->patient.patient_id,True,True,
encounter.csv,data/releases/BAYER_PROSTATE_PATIENT_JOURNEY_SYNTHETIC_v2.1.0_20260825T112627Z/analytical_dataset/encounter.csv,csv,certified_analytical_dataset,76819,12,encounter_id; patient_id; market_code; provider_id; organization_id; encounter_date; encounter_type; provider_specialty; care_setting; sequence_number; detail_level; synthetic_event_flag,9711007,66765b5331d6e3f20ac391c39f93a1a29d5dfe9811b809e5a1489987db836d27,2026-08-28,one dated patient-provider encounter,encounter_id,patient_id->patient.patient_id; provider_id->provider.provider_id; organization_id->organization.organization_id,True,True,
encounter.parquet,data/releases/BAYER_PROSTATE_PATIENT_JOURNEY_SYNTHETIC_v2.1.0_20260825T112627Z/analytical_dataset/encounter.parquet,parquet,certified_analytical_dataset,76819,12,encounter_id; patient_id; market_code; provider_id; organization_id; encounter_date; encounter_type; provider_specialty; care_setting; sequence_number; detail_level; synthetic_event_flag,862695,f7c08334d05df8cc5b7a9463da3cb0053249b8e4e175faa6ff38f6dd1fc07324,2026-08-28,one dated patient-provider encounter,encounter_id,patient_id->patient.patient_id; provider_id->provider.provider_id; organization_id->organization.organization_id,True,True,
feature_timing.csv,data/releases/BAYER_PROSTATE_PATIENT_JOURNEY_SYNTHETIC_v2.1.0_20260825T112627Z/analytical_dataset/feature_timing.csv,csv,certified_analytical_dataset,105,9,feature_metadata_id; feature_name; availability_stage; allowed_use_cases; future_information_flag; predictor_allowed_flag; availability_condition; target_label_flag; timing_rule_version,13298,9a999971796a0fa4d52cf8fab30e7e92c821bdce0acd14a9277b9fa51939f4e5,2026-08-28,one timing/governance record per mart field,feature_metadata_id,,False,False,
feature_timing.parquet,data/releases/BAYER_PROSTATE_PATIENT_JOURNEY_SYNTHETIC_v2.1.0_20260825T112627Z/analytical_dataset/feature_timing.parquet,parquet,certified_analytical_dataset,105,9,feature_metadata_id; feature_name; availability_stage; allowed_use_cases; future_information_flag; predictor_allowed_flag; availability_condition; target_label_flag; timing_rule_version,8922,cef8f730fa2bf863d437f21076a4b294a705c4f8bd078aa1b701b0f7c95f3db6,2026-08-28,one timing/governance record per mart field,feature_metadata_id,,False,False,
intervention_prioritisation_inputs.csv,data/releases/BAYER_PROSTATE_PATIENT_JOURNEY_SYNTHETIC_v2.1.0_20260825T112627Z/analytical_dataset/intervention_prioritisation_inputs.csv,csv,certified_analytical_dataset,135,29,market_code; market_depth; region; initial_care_setting; complexity_segment; eligible; initiation_90d_evaluable; initiated_90d; treatment_gap_90d; initiation_90d_censored_not_evaluable; initiation_90d_partition_unexplained; treatment_gap_rate_90d; treatment_gap_rate_90d_evaluable_denominator; treatment_gap_rate_90d_eligible_denominator; treatment_gap_ci95_low; treatment_gap_ci95_high; treatment_gap_eligible_ci95_low; treatment_gap_eligible_ci95_high; referral_evaluable; referral_completed; referral_noncompletion_rate; median_referral_delay_days; mean_access_index; persistence_evaluable_12m; persistent_12m,51734,1e88c3692b541b77518fee82eb2b921135127638548ff3607a0a1a73cd48dcc3,2026-08-28,unknown/reference table; inspect before analytical use,,,False,False,
market_opportunity.csv,data/releases/BAYER_PROSTATE_PATIENT_JOURNEY_SYNTHETIC_v2.1.0_20260825T112627Z/analytical_dataset/market_opportunity.csv,csv,certified_analytical_dataset,7,30,market_code; market_depth; patients; eligible; initiated_90d; treatment_gap_90d; initiation_90d_evaluable; initiation_90d_censored_not_evaluable; evaluable_12m; persistent_12m; discontinued_or_switched_12m; censored_12m; realized_value_proxy_12m; initiation_rate_90d_eligible_denominator; initiation_eligible_ci95_low; initiation_eligible_ci95_high; initiation_rate_90d_evaluable_denominator; initiation_evaluable_ci95_low; initiation_evaluable_ci95_high; treatment_gap_rate_90d_eligible_denominator; treatment_gap_rate_90d_evaluable_denominator; persistence_rate_12m; persistence_ci95_low; persistence_ci95_high; realized_value_proxy_rate_12m,4769,b7c7172e05428eea0a52aa36c6a9f9e77767a63aff482f2663d5a46abd962f16,2026-08-28,unknown/reference table; inspect before analytical use,,,True,False,
observation.csv,data/releases/BAYER_PROSTATE_PATIENT_JOURNEY_SYNTHETIC_v2.1.0_20260825T112627Z/analytical_dataset/observation.csv,csv,certified_analytical_dataset,10000,13,observation_id; patient_id; market_code; observation_start_date; observation_end_date; last_observed_date; loss_to_follow_up_date; death_date; censor_date; censor_reason; follow_up_days_from_diagnosis; observation_rule_version; synthetic_event_flag,1251868,08f9c15351278260d07ec04d8f91e6caa9e44eb07e04380087463f018ee41f9b,2026-08-28,one observation/censoring record per patient,observation_id,patient_id->patient.patient_id,True,True,
observation.parquet,data/releases/BAYER_PROSTATE_PATIENT_JOURNEY_SYNTHETIC_v2.1.0_20260825T112627Z/analytical_dataset/observation.parquet,parquet,certified_analytical_dataset,10000,13,observation_id; patient_id; market_code; observation_start_date; observation_end_date; last_observed_date; loss_to_follow_up_date; death_date; censor_date; censor_reason; follow_up_days_from_diagnosis; observation_rule_version; synthetic_event_flag,234867,c8c7ec6ec1238410d4d5a2c977795dc99bb59887cbf42588b8f0f35de603c7c1,2026-08-28,one observation/censoring record per patient,observation_id,patient_id->patient.patient_id,True,True,
organization.csv,data/releases/BAYER_PROSTATE_PATIENT_JOURNEY_SYNTHETIC_v2.1.0_20260825T112627Z/analytical_dataset/organization.csv,csv,certified_analytical_dataset,48,8,organization_id; market_code; region; organization_type; care_setting; academic_flag; multidisciplinary_team_flag; synthetic_organization_flag,3680,50a2732dc4eb378270ccae5f1b267e492362f02f757792d2e36c2611d45d243d,2026-08-28,one synthetic organization,organization_id,,False,False,
organization.parquet,data/releases/BAYER_PROSTATE_PATIENT_JOURNEY_SYNTHETIC_v2.1.0_20260825T112627Z/analytical_dataset/organization.parquet,parquet,certified_analytical_dataset,48,8,organization_id; market_code; region; organization_type; care_setting; academic_flag; multidisciplinary_team_flag; synthetic_organization_flag,5783,0b777daf69bae108ca3f54c6f1a3eb47621ffc200beae6bce393bbd1318527cc,2026-08-28,one synthetic organization,organization_id,,False,False,
outcome.csv,data/releases/BAYER_PROSTATE_PATIENT_JOURNEY_SYNTHETIC_v2.1.0_20260825T112627Z/analytical_dataset/outcome.csv,csv,certified_analytical_dataset,10000,21,outcome_id; patient_id; market_code; progression_event; progression_date; castration_resistant_transition; castration_resistant_date; hospitalisation_flag; first_hospitalisation_date; adverse_event_flag; adverse_event_count; death_flag; death_date; lost_to_follow_up_flag; loss_to_follow_up_date; last_observed_date; censor_date; censor_reason; outcome_status; outcome_model_version; synthetic_event_flag,1602347,ad097fd09501d1b8938075a449b69f650876fbaa6ca2efafd38c18ad359e848c,2026-08-28,one derived outcome/censoring record per patient,outcome_id,patient_id->patient.patient_id,True,True,
outcome.parquet,data/releases/BAYER_PROSTATE_PATIENT_JOURNEY_SYNTHETIC_v2.1.0_20260825T112627Z/analytical_dataset/outcome.parquet,parquet,certified_analytical_dataset,10000,21,outcome_id; patient_id; market_code; progression_event; progression_date; castration_resistant_transition; castration_resistant_date; hospitalisation_flag; first_hospitalisation_date; adverse_event_flag; adverse_event_count; death_flag; death_date; lost_to_follow_up_flag; loss_to_follow_up_date; last_observed_date; censor_date; censor_reason; outcome_status; outcome_model_version; synthetic_event_flag,220049,fb9543f253091c83a1774734652aa80f216d4e9c3c66027207f9d98b09c17ef5,2026-08-28,one derived outcome/censoring record per patient,outcome_id,patient_id->patient.patient_id,True,True,
patient.csv,data/releases/BAYER_PROSTATE_PATIENT_JOURNEY_SYNTHETIC_v2.1.0_20260825T112627Z/analytical_dataset/patient.csv,csv,certified_analytical_dataset,10000,27,patient_id; source_patient_id; source_archetype_id; source_record_type; birth_date; index_date; birth_year; age_at_index; sex; market_code; country; market_depth; region; postal_code_prefix; race; ethnicity; insurance_type; access_index; comorbidity_score; frailty_proxy; complexity_segment; socioeconomic_proxy; date_of_death; synthetic_oversampling_flag; population_representative_flag,2111300,e9b5b951f00910ce6fbc94eb9fcc51cebcb745391ad97769a0b0af222a5cc1bd,2026-08-28,one row per synthetic patient/archetype,patient_id,,True,True,
patient.parquet,data/releases/BAYER_PROSTATE_PATIENT_JOURNEY_SYNTHETIC_v2.1.0_20260825T112627Z/analytical_dataset/patient.parquet,parquet,certified_analytical_dataset,10000,27,patient_id; source_patient_id; source_archetype_id; source_record_type; birth_date; index_date; birth_year; age_at_index; sex; market_code; country; market_depth; region; postal_code_prefix; race; ethnicity; insurance_type; access_index; comorbidity_score; frailty_proxy; complexity_segment; socioeconomic_proxy; date_of_death; synthetic_oversampling_flag; population_representative_flag,338116,2f355bd61784a8cc076655489dce7ef90bebe7eee339249d7254370ae8e1f65e,2026-08-28,one row per synthetic patient/archetype,patient_id,,True,True,
patient_journey.csv,data/releases/BAYER_PROSTATE_PATIENT_JOURNEY_SYNTHETIC_v2.1.0_20260825T112627Z/analytical_dataset/patient_journey.csv,csv,certified_analytical_dataset,10000,105,patient_id; market_code; country; market_depth; source_archetype_id; age_at_index; comorbidity_score; frailty_proxy; complexity_segment; region; insurance_type; access_index; socioeconomic_proxy; prostate_stage; metastatic_flag; hormone_sensitive_flag; castration_resistant_flag; risk_group; psa_value; gleason_score; isup_grade_group; mhspc_flag; denominator_status; eligibility_flag; eligible_for_arpi,7702540,250f59c73ed7b8c0a8ee27e05d58e54c2525f4f638b5c12472cc284a049c1ba1,2026-08-28,one analysis-ready row per patient,patient_id,patient_id->patient.patient_id,True,True,
patient_journey.parquet,data/releases/BAYER_PROSTATE_PATIENT_JOURNEY_SYNTHETIC_v2.1.0_20260825T112627Z/analytical_dataset/patient_journey.parquet,parquet,certified_analytical_dataset,10000,105,patient_id; market_code; country; market_depth; source_archetype_id; age_at_index; comorbidity_score; frailty_proxy; complexity_segment; region; insurance_type; access_index; socioeconomic_proxy; prostate_stage; metastatic_flag; hormone_sensitive_flag; castration_resistant_flag; risk_group; psa_value; gleason_score; isup_grade_group; mhspc_flag; denominator_status; eligibility_flag; eligible_for_arpi,624738,3db9ced43def488601f12ac41e1e72c45e609c89586652be39795001fced2912,2026-08-28,one analysis-ready row per patient,patient_id,patient_id->patient.patient_id,True,True,
patient_split.csv,data/releases/BAYER_PROSTATE_PATIENT_JOURNEY_SYNTHETIC_v2.1.0_20260825T112627Z/analytical_dataset/patient_split.csv,csv,certified_analytical_dataset,10000,6,patient_split_id; patient_id; source_archetype_id; market_code; split; split_rule_version,875761,96d6073816bc72aab83909ed0337babcd350deefee370a0704e4984a510564c3,2026-08-28,one reproducible analytical split per patient,patient_split_id,patient_id->patient.patient_id,True,False,
patient_split.parquet,data/releases/BAYER_PROSTATE_PATIENT_JOURNEY_SYNTHETIC_v2.1.0_20260825T112627Z/analytical_dataset/patient_split.parquet,parquet,certified_analytical_dataset,10000,6,patient_split_id; patient_id; source_archetype_id; market_code; split; split_rule_version,195426,c854f1670f5e5cd6d4c38b27a5d3d428230e946cee8d61519a0e4e0d1fe2834d,2026-08-28,one reproducible analytical split per patient,patient_split_id,patient_id->patient.patient_id,True,False,
prescription_event.csv,data/releases/BAYER_PROSTATE_PATIENT_JOURNEY_SYNTHETIC_v2.1.0_20260825T112627Z/analytical_dataset/prescription_event.csv,csv,certified_analytical_dataset,26306,20,prescription_event_id; patient_id; market_code; treatment_episode_id; regimen_id; component_id; service_date; product_id; drug_name; drug_class; quantity_dispensed; days_supply; nominal_covered_until_date; covered_until_date; event_type; refill_gap_days; refill_timing; adherence_profile; detail_level; synthetic_event_flag,5120238,f56210692d2148b780d0e762ef8d50a2e38efdc496dbec9d8efed79739924343,2026-08-28,one dispensing/refill event,prescription_event_id,patient_id->patient.patient_id; treatment_episode_id->treatment_episode.treatment_episode_id; regimen_id->treatment_regimen.regimen_id; component_id->treatment_regimen_component.component_id,True,True,
prescription_event.parquet,data/releases/BAYER_PROSTATE_PATIENT_JOURNEY_SYNTHETIC_v2.1.0_20260825T112627Z/analytical_dataset/prescription_event.parquet,parquet,certified_analytical_dataset,26306,20,prescription_event_id; patient_id; market_code; treatment_episode_id; regimen_id; component_id; service_date; product_id; drug_name; drug_class; quantity_dispensed; days_supply; nominal_covered_until_date; covered_until_date; event_type; refill_gap_days; refill_timing; adherence_profile; detail_level; synthetic_event_flag,536532,4ab599f66e9293a55dfd50715fb711a175c0343104822b92d9961ab52da2fd59,2026-08-28,one dispensing/refill event,prescription_event_id,patient_id->patient.patient_id; treatment_episode_id->treatment_episode.treatment_episode_id; regimen_id->treatment_regimen.regimen_id; component_id->treatment_regimen_component.component_id,True,True,
prostate_journey.duckdb,data/releases/BAYER_PROSTATE_PATIENT_JOURNEY_SYNTHETIC_v2.1.0_20260825T112627Z/analytical_dataset/prostate_journey.duckdb,duckdb,certified_analytical_dataset,203400,383,active_surveillance; adverse_event; diagnosis; disease_state_event; eligibility; encounter; feature_timing; observation; organization; outcome; patient; patient_journey; patient_split; prescription_event; provider; referral; treatment_episode; treatment_regimen; treatment_regimen_component,12070912,4dc18e10d9a662652f2d94b9787bc815e53bec72b34bc9dbb55fcbafca74d177,2026-08-28,database container with multiple table grains,,,True,False,
provider.csv,data/releases/BAYER_PROSTATE_PATIENT_JOURNEY_SYNTHETIC_v2.1.0_20260825T112627Z/analytical_dataset/provider.csv,csv,certified_analytical_dataset,64,10,provider_id; organization_id; market_code; region; provider_specialty; care_setting; academic_flag; annual_prostate_volume; multidisciplinary_team_flag; synthetic_provider_flag,5672,f16ff4da0e7a5ae3e7ab665c71aad1d46b5f79e967d636943088bffb2bcef814,2026-08-28,one stable provider-master row,provider_id,organization_id->organization.organization_id,False,False,
provider.parquet,data/releases/BAYER_PROSTATE_PATIENT_JOURNEY_SYNTHETIC_v2.1.0_20260825T112627Z/analytical_dataset/provider.parquet,parquet,certified_analytical_dataset,64,10,provider_id; organization_id; market_code; region; provider_specialty; care_setting; academic_flag; annual_prostate_volume; multidisciplinary_team_flag; synthetic_provider_flag,7701,4514806cb2835f7a164ed55253413ae0052c8425b2cf7ba9e104e451cb5c6de2,2026-08-28,one stable provider-master row,provider_id,organization_id->organization.organization_id,False,False,
referral.csv,data/releases/BAYER_PROSTATE_PATIENT_JOURNEY_SYNTHETIC_v2.1.0_20260825T112627Z/analytical_dataset/referral.csv,csv,certified_analytical_dataset,5419,16,referral_id; patient_id; market_code; source_provider_id; source_organization_id; source_specialty; destination_provider_id; destination_organization_id; destination_specialty; referral_date; completion_date; referral_status; referral_reason; decision_owner_specialty; detail_level; synthetic_event_flag,1045612,89acdffa0e9393a0e5cd9f8c00d54b03a2a88cf8c577701dced7d1a36f3b6eae,2026-08-28,one provider-to-provider referral,referral_id,patient_id->patient.patient_id; source_provider_id->provider.provider_id; destination_provider_id->provider.provider_id; source_organization_id->organization.organization_id; destination_organization_id->organization.organization_id,True,True,
referral.parquet,data/releases/BAYER_PROSTATE_PATIENT_JOURNEY_SYNTHETIC_v2.1.0_20260825T112627Z/analytical_dataset/referral.parquet,parquet,certified_analytical_dataset,5419,16,referral_id; patient_id; market_code; source_provider_id; source_organization_id; source_specialty; destination_provider_id; destination_organization_id; destination_specialty; referral_date; completion_date; referral_status; referral_reason; decision_owner_specialty; detail_level; synthetic_event_flag,133587,c9deab018fbfcb7ed68abb51c5144d5a602eb71a02b0473b366085789a1d04df,2026-08-28,one provider-to-provider referral,referral_id,patient_id->patient.patient_id; source_provider_id->provider.provider_id; destination_provider_id->provider.provider_id; source_organization_id->organization.organization_id; destination_organization_id->organization.organization_id,True,True,
sensitivity_analysis.csv,data/releases/BAYER_PROSTATE_PATIENT_JOURNEY_SYNTHETIC_v2.1.0_20260825T112627Z/analytical_dataset/sensitivity_analysis.csv,csv,certified_analytical_dataset,48,20,market_code; sensitivity_domain; parameter_days; definition; numerator; denominator; eligible_denominator; evaluable_denominator; censored_not_evaluable; unexplained_partition; rate; rate_evaluable_denominator; rate_eligible_denominator; wilson_ci95_low; wilson_ci95_high; eligible_denominator_ci95_low; eligible_denominator_ci95_high; precomputed_flag_mismatch_count; definition_version; caveat,20336,34caf062094f9e72fae3e3d4ab6fa0efc0d5d516c9a564f6d44eec7451da54d3,2026-08-28,unknown/reference table; inspect before analytical use,,,False,False,
treatment_episode.csv,data/releases/BAYER_PROSTATE_PATIENT_JOURNEY_SYNTHETIC_v2.1.0_20260825T112627Z/analytical_dataset/treatment_episode.csv,csv,certified_analytical_dataset,2369,24,treatment_episode_id; patient_id; market_code; treatment_line; treatment_start_date; treatment_end_date; treatment_status; treatment_intent; episode_reason; transition_type; previous_episode_id; prescribing_provider_id; discontinuation_flag; discontinuation_date; discontinuation_reason; switch_flag; switch_date; restart_flag; restart_date; temporary_gap_flag; tracking_component_id; prescription_event_count; max_refill_gap_days; synthetic_event_flag,436513,9de04a1e160493cf0e7b9feffe5cbd41215e0607a95ad5c692feb95be906754d,2026-08-28,one longitudinal treatment line/episode,treatment_episode_id,patient_id->patient.patient_id; prescribing_provider_id->provider.provider_id; previous_episode_id->treatment_episode.treatment_episode_id,True,True,
treatment_episode.parquet,data/releases/BAYER_PROSTATE_PATIENT_JOURNEY_SYNTHETIC_v2.1.0_20260825T112627Z/analytical_dataset/treatment_episode.parquet,parquet,certified_analytical_dataset,2369,24,treatment_episode_id; patient_id; market_code; treatment_line; treatment_start_date; treatment_end_date; treatment_status; treatment_intent; episode_reason; transition_type; previous_episode_id; prescribing_provider_id; discontinuation_flag; discontinuation_date; discontinuation_reason; switch_flag; switch_date; restart_flag; restart_date; temporary_gap_flag; tracking_component_id; prescription_event_count; max_refill_gap_days; synthetic_event_flag,102022,885202dc409bfa352469479b67253bc92ae38e513c0b9f3ca5179f86b438f3fb,2026-08-28,one longitudinal treatment line/episode,treatment_episode_id,patient_id->patient.patient_id; prescribing_provider_id->provider.provider_id; previous_episode_id->treatment_episode.treatment_episode_id,True,True,
treatment_gap_heatmap.csv,data/releases/BAYER_PROSTATE_PATIENT_JOURNEY_SYNTHETIC_v2.1.0_20260825T112627Z/analytical_dataset/treatment_gap_heatmap.csv,csv,certified_analytical_dataset,377,22,market_code; market_depth; region; initial_care_setting; complexity_segment; age_group; eligible; initiation_90d_evaluable; initiated_90d; treatment_gap_90d; initiation_90d_censored_not_evaluable; initiation_90d_partition_unexplained; treatment_gap_rate_90d; treatment_gap_rate_90d_evaluable_denominator; treatment_gap_rate_90d_eligible_denominator; wilson_ci95_low; wilson_ci95_high; eligible_denominator_ci95_low; eligible_denominator_ci95_high; confidence_grade; small_cell_flag; caveat,120373,a8c3f37272b620e010a67c378678cdb5b21430823c832d0099f097e83d38d17a,2026-08-28,unknown/reference table; inspect before analytical use,,,False,False,
treatment_regimen.csv,data/releases/BAYER_PROSTATE_PATIENT_JOURNEY_SYNTHETIC_v2.1.0_20260825T112627Z/analytical_dataset/treatment_regimen.csv,csv,certified_analytical_dataset,2369,14,regimen_id; treatment_episode_id; patient_id; market_code; regimen_name; regimen_type; combination_strategy; regimen_start_date; regimen_end_date; regimen_status; intensification_flag; guideline_concordance_classification; guideline_rule_version; synthetic_event_flag,428269,2dbe941b02763b031114b1def9dd9d4307a177b40615328f1668cf271424ea9f,2026-08-28,one regimen attached to a treatment episode,regimen_id,patient_id->patient.patient_id; treatment_episode_id->treatment_episode.treatment_episode_id,True,True,
treatment_regimen.parquet,data/releases/BAYER_PROSTATE_PATIENT_JOURNEY_SYNTHETIC_v2.1.0_20260825T112627Z/analytical_dataset/treatment_regimen.parquet,parquet,certified_analytical_dataset,2369,14,regimen_id; treatment_episode_id; patient_id; market_code; regimen_name; regimen_type; combination_strategy; regimen_start_date; regimen_end_date; regimen_status; intensification_flag; guideline_concordance_classification; guideline_rule_version; synthetic_event_flag,81251,d4c3faf373fd8e3f264d541b6ddd27ae9365ebe8dccd227d16bb978b274f8a8a,2026-08-28,one regimen attached to a treatment episode,regimen_id,patient_id->patient.patient_id; treatment_episode_id->treatment_episode.treatment_episode_id,True,True,
