check_id,severity,domain,table_name,check_name,status,affected_records,denominator,affected_rate,observed,expected,analysis_impact
FK_REFERRAL_DESTINATION_ORGANIZATION_ID,P0,keys,referral,destination_organization_id resolves to organization.organization_id,PASS,0,5419,0.0,orphan non-null values=0,0 orphan foreign keys,Broken entity lineage invalidates normalized-to-mart reconstruction.
FK_REFERRAL_DESTINATION_PROVIDER_ID,P0,keys,referral,destination_provider_id resolves to provider.provider_id,PASS,0,5419,0.0,orphan non-null values=0,0 orphan foreign keys,Broken entity lineage invalidates normalized-to-mart reconstruction.
FK_REFERRAL_SOURCE_ORGANIZATION_ID,P0,keys,referral,source_organization_id resolves to organization.organization_id,PASS,0,5419,0.0,orphan non-null values=0,0 orphan foreign keys,Broken entity lineage invalidates normalized-to-mart reconstruction.
FK_REFERRAL_SOURCE_PROVIDER_ID,P0,keys,referral,source_provider_id resolves to provider.provider_id,PASS,0,5419,0.0,orphan non-null values=0,0 orphan foreign keys,Broken entity lineage invalidates normalized-to-mart reconstruction.
PATIENT_FK_REFERRAL,P0,keys,referral,patient foreign key resolves,PASS,0,5419,0.0,orphan patient rows=0,every patient identifier exists in patient,Orphan events cannot be assigned to a cohort denominator.
PK_REFERRAL,P0,keys,referral,primary key non-null and unique,PASS,0,5419,0.0,null=0; duplicate=0,unique non-null referral_id,A broken primary key prevents trustworthy table grain and joins.
FK_TREATMENT_EPISODE_PRESCRIBING_PROVIDER_ID,P0,keys,treatment_episode,prescribing_provider_id resolves to provider.provider_id,PASS,0,2369,0.0,orphan non-null values=0,0 orphan foreign keys,Broken entity lineage invalidates normalized-to-mart reconstruction.
FK_TREATMENT_EPISODE_PREVIOUS_EPISODE_ID,P0,keys,treatment_episode,previous_episode_id resolves to treatment_episode.treatment_episode_id,PASS,0,277,0.0,orphan non-null values=0,0 orphan foreign keys,Broken entity lineage invalidates normalized-to-mart reconstruction.
PATIENT_FK_TREATMENT_EPISODE,P0,keys,treatment_episode,patient foreign key resolves,PASS,0,2369,0.0,orphan patient rows=0,every patient identifier exists in patient,Orphan events cannot be assigned to a cohort denominator.
PK_TREATMENT_EPISODE,P0,keys,treatment_episode,primary key non-null and unique,PASS,0,2369,0.0,null=0; duplicate=0,unique non-null treatment_episode_id,A broken primary key prevents trustworthy table grain and joins.
FK_TREATMENT_REGIMEN_TREATMENT_EPISODE_ID,P0,keys,treatment_regimen,treatment_episode_id resolves to treatment_episode.treatment_episode_id,PASS,0,2369,0.0,orphan non-null values=0,0 orphan foreign keys,Broken entity lineage invalidates normalized-to-mart reconstruction.
PATIENT_FK_TREATMENT_REGIMEN,P0,keys,treatment_regimen,patient foreign key resolves,PASS,0,2369,0.0,orphan patient rows=0,every patient identifier exists in patient,Orphan events cannot be assigned to a cohort denominator.
PK_TREATMENT_REGIMEN,P0,keys,treatment_regimen,primary key non-null and unique,PASS,0,2369,0.0,null=0; duplicate=0,unique non-null regimen_id,A broken primary key prevents trustworthy table grain and joins.
FK_TREATMENT_REGIMEN_COMPONENT_REGIMEN_ID,P0,keys,treatment_regimen_component,regimen_id resolves to treatment_regimen.regimen_id,PASS,0,4230,0.0,orphan non-null values=0,0 orphan foreign keys,Broken entity lineage invalidates normalized-to-mart reconstruction.
FK_TREATMENT_REGIMEN_COMPONENT_TREATMENT_EPISODE_ID,P0,keys,treatment_regimen_component,treatment_episode_id resolves to treatment_episode.treatment_episode_id,PASS,0,4230,0.0,orphan non-null values=0,0 orphan foreign keys,Broken entity lineage invalidates normalized-to-mart reconstruction.
PATIENT_FK_TREATMENT_REGIMEN_COMPONENT,P0,keys,treatment_regimen_component,patient foreign key resolves,PASS,0,4230,0.0,orphan patient rows=0,every patient identifier exists in patient,Orphan events cannot be assigned to a cohort denominator.
PK_TREATMENT_REGIMEN_COMPONENT,P0,keys,treatment_regimen_component,primary key non-null and unique,PASS,0,4230,0.0,null=0; duplicate=0,unique non-null component_id,A broken primary key prevents trustworthy table grain and joins.
REQUIRED_MARKETS,P0,market,patient,all required markets are represented,PASS,0,7,0.0,"market counts={'AU': 800, 'CA': 900, 'CN': 1200, 'DE': 1800, 'FR': 1100, 'JP': 1600, 'US': 2600}","required=['US', 'DE', 'JP', 'FR', 'CN', 'AU', 'CA']",A missing market prevents the requested Deep/Scan diagnostic.
ENCOUNTER_PROVIDER_CONSISTENCY,P0,provider_pathway,encounter,encounter specialty/setting/organization agree with provider master,PASS,0,230457,0.0,field mismatches=0,0 provider-master mismatches,Provider contradictions invalidate pathway and setting comparisons.
REFERRAL_ENDPOINT_CONSISTENCY,P0,provider_pathway,referral,referral endpoints are distinct provider-master specialties,PASS,0,16257,0.0,endpoint mismatches=0,0 specialty/master mismatches and distinct providers,Label-only referrals would invalidate pathway analysis.
NORMALIZED_MART_RECONCILIATION,P0,reconciliation,patient_journey,normalized tables agree with patient-level mart,PASS,0,196276,0.0,mismatches across aggregate comparisons=0,0 mismatches,Mart disagreement invalidates downstream cohort metrics.
DATE_ORDER_TREATMENT_EPISODE_TREATMENT_START_DATE_DISCONTINUATION_DATE,P0,temporal,treatment_episode,treatment_start_date <= discontinuation_date,PASS,0,2369,0.0,reversed pairs=0,0 reversed dated pairs,Impossible chronology prevents valid longitudinal analysis.
DATE_ORDER_TREATMENT_EPISODE_TREATMENT_START_DATE_RESTART_DATE,P0,temporal,treatment_episode,treatment_start_date <= restart_date,PASS,0,2369,0.0,reversed pairs=0,0 reversed dated pairs,Impossible chronology prevents valid longitudinal analysis.
DATE_ORDER_TREATMENT_EPISODE_TREATMENT_START_DATE_SWITCH_DATE,P0,temporal,treatment_episode,treatment_start_date <= switch_date,PASS,0,2369,0.0,reversed pairs=0,0 reversed dated pairs,Impossible chronology prevents valid longitudinal analysis.
DATE_ORDER_TREATMENT_EPISODE_TREATMENT_START_DATE_TREATMENT_END_DATE,P0,temporal,treatment_episode,treatment_start_date <= treatment_end_date,PASS,0,2369,0.0,reversed pairs=0,0 reversed dated pairs,Impossible chronology prevents valid longitudinal analysis.
DATE_ORDER_TREATMENT_REGIMEN_REGIMEN_START_DATE_REGIMEN_END_DATE,P0,temporal,treatment_regimen,regimen_start_date <= regimen_end_date,PASS,0,2369,0.0,reversed pairs=0,0 reversed dated pairs,Impossible chronology prevents valid longitudinal analysis.
DATE_ORDER_TREATMENT_REGIMEN_COMPONENT_COMPONENT_START_DATE_COMPONENT_END_DATE,P0,temporal,treatment_regimen_component,component_start_date <= component_end_date,PASS,0,4230,0.0,reversed pairs=0,0 reversed dated pairs,Impossible chronology prevents valid longitudinal analysis.
TREATMENT_DURATION_INVALID,P0,treatment,treatment_episode,treatment duration is non-negative,PASS,0,2369,0.0,negative durations=0,end date >= start date,Negative treatment duration invalidates longitudinal ordering.
CATEGORY_DIAGNOSIS_PROSTATE_STAGE,P1,categories,diagnosis,prostate_stage uses governed categories,PASS,0,10000,0.0,"observed=['localized', 'locally_advanced', 'metastatic', 'unknown']; unexpected=[]","allowed=['localized', 'locally_advanced', 'metastatic', 'unknown']",Unexpected labels can silently merge distinct clinical/pathway states.
CATEGORY_DISEASE_STATE_EVENT_STATE,P1,categories,disease_state_event,state uses governed categories,PASS,0,10177,0.0,"observed=['localized', 'locally_advanced', 'mCRPC', 'mHSPC', 'metastatic_other', 'unknown']; unexpected=[]","allowed=['localized', 'locally_advanced', 'mCRPC', 'mHSPC', 'metastatic_other', 'unknown']",Unexpected labels can silently merge distinct clinical/pathway states.
CATEGORY_ENCOUNTER_CARE_SETTING,P1,categories,encounter,care_setting uses governed categories,PASS,0,76819,0.0,"observed=['academic_oncology', 'community_oncology', 'community_urology', 'mixed_pathway']; unexpected=[]","allowed=['academic_oncology', 'community_oncology', 'community_urology', 'mixed_pathway']",Unexpected labels can silently merge distinct clinical/pathway states.
CATEGORY_ENCOUNTER_PROVIDER_SPECIALTY,P1,categories,encounter,provider_specialty uses governed categories,PASS,0,76819,0.0,"observed=['medical_oncology', 'urology']; unexpected=[]","allowed=['medical_oncology', 'primary_care', 'radiation_oncology', 'urology']",Unexpected labels can silently merge distinct clinical/pathway states.
CATEGORY_PATIENT_MARKET_CODE,P1,categories,patient,market_code uses governed categories,PASS,0,10000,0.0,"observed=['AU', 'CA', 'CN', 'DE', 'FR', 'JP', 'US']; unexpected=[]","allowed=['AU', 'CA', 'CN', 'DE', 'FR', 'JP', 'US']",Unexpected labels can silently merge distinct clinical/pathway states.
CATEGORY_PATIENT_MARKET_DEPTH,P1,categories,patient,market_depth uses governed categories,PASS,0,10000,0.0,"observed=['deep', 'scan']; unexpected=[]","allowed=['deep', 'scan']",Unexpected labels can silently merge distinct clinical/pathway states.
CATEGORY_PATIENT_SEX,P1,categories,patient,sex uses governed categories,PASS,0,10000,0.0,observed=['male']; unexpected=[],allowed=['male'],Unexpected labels can silently merge distinct clinical/pathway states.
CATEGORY_PATIENT_JOURNEY_INITIATION_90D_STATUS,P1,categories,patient_journey,initiation_90d_status uses governed categories,PASS,0,10000,0.0,"observed=['INITIATED_WITHIN_90D', 'NOT_ELIGIBLE', 'NOT_INITIATED_WITHIN_90D']; unexpected=[]","allowed=['CENSORED_NOT_EVALUABLE', 'INITIATED_WITHIN_90D', 'NOT_ELIGIBLE', 'NOT_INITIATED_WITHIN_90D']",Unexpected labels can silently merge distinct clinical/pathway states.
CATEGORY_PATIENT_JOURNEY_PERSISTENCE_12M_STATUS,P1,categories,patient_journey,persistence_12m_status uses governed categories,PASS,0,10000,0.0,"observed=['CENSORED_NOT_EVALUABLE', 'DISCONTINUED', 'NOT_APPLICABLE', 'PERSISTENT', 'SWITCHED']; unexpected=[]","allowed=['CENSORED_NOT_EVALUABLE', 'DISCONTINUED', 'NOT_APPLICABLE', 'PERSISTENT', 'SWITCHED']",Unexpected labels can silently merge distinct clinical/pathway states.
CATEGORY_PROVIDER_CARE_SETTING,P1,categories,provider,care_setting uses governed categories,PASS,0,64,0.0,"observed=['academic_oncology', 'community_oncology', 'community_urology', 'mixed_pathway']; unexpected=[]","allowed=['academic_oncology', 'community_oncology', 'community_urology', 'mixed_pathway']",Unexpected labels can silently merge distinct clinical/pathway states.
CATEGORY_PROVIDER_PROVIDER_SPECIALTY,P1,categories,provider,provider_specialty uses governed categories,PASS,0,64,0.0,"observed=['medical_oncology', 'primary_care', 'radiation_oncology', 'urology']; unexpected=[]","allowed=['medical_oncology', 'primary_care', 'radiation_oncology', 'urology']",Unexpected labels can silently merge distinct clinical/pathway states.
CATEGORY_REFERRAL_REFERRAL_STATUS,P1,categories,referral,referral_status uses governed categories,PASS,0,5419,0.0,"observed=['cancelled', 'completed', 'not_completed', 'pending', 'rejected']; unexpected=[]","allowed=['cancelled', 'completed', 'not_completed', 'pending', 'rejected']",Unexpected labels can silently merge distinct clinical/pathway states.
CATEGORY_TREATMENT_EPISODE_TRANSITION_TYPE,P1,categories,treatment_episode,transition_type uses governed categories,PASS,0,2369,0.0,"observed=['initial', 'restart', 'switch']; unexpected=[]","allowed=['initial', 'restart', 'switch']",Unexpected labels can silently merge distinct clinical/pathway states.
PATIENTS_WITH_NO_EVENTS,P1,coverage,patient,each patient has longitudinal event evidence,PASS,0,10000,0.0,patients with no core events=0,0 patients without core events,Patients without events cannot support journey analysis.
DUP_ROW_ACTIVE_SURVEILLANCE,P1,duplicates,active_surveillance,exact duplicate rows,PASS,0,5055,0.0,duplicates=0,0 exact duplicates,Duplicates can inflate counts and distort rates.
DUP_ROW_ADVERSE_EVENT,P1,duplicates,adverse_event,exact duplicate rows,PASS,0,439,0.0,duplicates=0,0 exact duplicates,Duplicates can inflate counts and distort rates.
DUP_ROW_DIAGNOSIS,P1,duplicates,diagnosis,exact duplicate rows,PASS,0,10000,0.0,duplicates=0,0 exact duplicates,Duplicates can inflate counts and distort rates.
DUP_ROW_DISEASE_STATE_EVENT,P1,duplicates,disease_state_event,exact duplicate rows,PASS,0,10177,0.0,duplicates=0,0 exact duplicates,Duplicates can inflate counts and distort rates.
DUP_ROW_ELIGIBILITY,P1,duplicates,eligibility,exact duplicate rows,PASS,0,10000,0.0,duplicates=0,0 exact duplicates,Duplicates can inflate counts and distort rates.
DUP_ROW_ENCOUNTER,P1,duplicates,encounter,exact duplicate rows,PASS,0,76819,0.0,duplicates=0,0 exact duplicates,Duplicates can inflate counts and distort rates.
DUP_ROW_FEATURE_TIMING,P1,duplicates,feature_timing,exact duplicate rows,PASS,0,105,0.0,duplicates=0,0 exact duplicates,Duplicates can inflate counts and distort rates.
DUP_ROW_OBSERVATION,P1,duplicates,observation,exact duplicate rows,PASS,0,10000,0.0,duplicates=0,0 exact duplicates,Duplicates can inflate counts and distort rates.
DUP_ROW_ORGANIZATION,P1,duplicates,organization,exact duplicate rows,PASS,0,48,0.0,duplicates=0,0 exact duplicates,Duplicates can inflate counts and distort rates.
DUP_ROW_OUTCOME,P1,duplicates,outcome,exact duplicate rows,PASS,0,10000,0.0,duplicates=0,0 exact duplicates,Duplicates can inflate counts and distort rates.
DUP_ROW_PATIENT,P1,duplicates,patient,exact duplicate rows,PASS,0,10000,0.0,duplicates=0,0 exact duplicates,Duplicates can inflate counts and distort rates.
DUP_ROW_PATIENT_JOURNEY,P1,duplicates,patient_journey,exact duplicate rows,PASS,0,10000,0.0,duplicates=0,0 exact duplicates,Duplicates can inflate counts and distort rates.
DUP_ROW_PATIENT_SPLIT,P1,duplicates,patient_split,exact duplicate rows,PASS,0,10000,0.0,duplicates=0,0 exact duplicates,Duplicates can inflate counts and distort rates.
DUP_ROW_PRESCRIPTION_EVENT,P1,duplicates,prescription_event,exact duplicate rows,PASS,0,26306,0.0,duplicates=0,0 exact duplicates,Duplicates can inflate counts and distort rates.
DUP_ROW_PROVIDER,P1,duplicates,provider,exact duplicate rows,PASS,0,64,0.0,duplicates=0,0 exact duplicates,Duplicates can inflate counts and distort rates.
DUP_ROW_REFERRAL,P1,duplicates,referral,exact duplicate rows,PASS,0,5419,0.0,duplicates=0,0 exact duplicates,Duplicates can inflate counts and distort rates.
DUPLICATE_TREATMENT_EVENT,P1,duplicates,treatment_episode,patient-line-start treatment event is unique,PASS,0,2369,0.0,duplicate treatment signatures=0,0 duplicate treatment signatures,Duplicate episodes inflate treated counts and pathway transitions.
DUP_ROW_TREATMENT_EPISODE,P1,duplicates,treatment_episode,exact duplicate rows,PASS,0,2369,0.0,duplicates=0,0 exact duplicates,Duplicates can inflate counts and distort rates.
DUP_ROW_TREATMENT_REGIMEN,P1,duplicates,treatment_regimen,exact duplicate rows,PASS,0,2369,0.0,duplicates=0,0 exact duplicates,Duplicates can inflate counts and distort rates.
DUP_ROW_TREATMENT_REGIMEN_COMPONENT,P1,duplicates,treatment_regimen_component,exact duplicate rows,PASS,0,4230,0.0,duplicates=0,0 exact duplicates,Duplicates can inflate counts and distort rates.
MARKET_FK_ACTIVE_SURVEILLANCE,P1,market,active_surveillance,event market agrees with patient market,PASS,0,5055,0.0,market mismatches=0,event and patient market_code agree,Market inconsistencies threaten stratified interpretation.
MARKET_FK_ADVERSE_EVENT,P1,market,adverse_event,event market agrees with patient market,PASS,0,439,0.0,market mismatches=0,event and patient market_code agree,Market inconsistencies threaten stratified interpretation.
MARKET_FK_DIAGNOSIS,P1,market,diagnosis,event market agrees with patient market,PASS,0,10000,0.0,market mismatches=0,event and patient market_code agree,Market inconsistencies threaten stratified interpretation.
MARKET_FK_DISEASE_STATE_EVENT,P1,market,disease_state_event,event market agrees with patient market,PASS,0,10177,0.0,market mismatches=0,event and patient market_code agree,Market inconsistencies threaten stratified interpretation.
MARKET_FK_ELIGIBILITY,P1,market,eligibility,event market agrees with patient market,PASS,0,10000,0.0,market mismatches=0,event and patient market_code agree,Market inconsistencies threaten stratified interpretation.
MARKET_FK_ENCOUNTER,P1,market,encounter,event market agrees with patient market,PASS,0,76819,0.0,market mismatches=0,event and patient market_code agree,Market inconsistencies threaten stratified interpretation.
MARKET_FK_OBSERVATION,P1,market,observation,event market agrees with patient market,PASS,0,10000,0.0,market mismatches=0,event and patient market_code agree,Market inconsistencies threaten stratified interpretation.
MARKET_FK_OUTCOME,P1,market,outcome,event market agrees with patient market,PASS,0,10000,0.0,market mismatches=0,event and patient market_code agree,Market inconsistencies threaten stratified interpretation.
COUNTRY_MARKET,P1,market,patient,country and market mapping is one-to-one,PASS,0,10000,0.0,mismatches=0,"{'US': 'United States', 'DE': 'Germany', 'JP': 'Japan', 'FR': 'France', 'CN': 'China', 'AU': 'Australia', 'CA': 'Canada'}",Country inconsistencies threaten market analyses.
MARKET_FK_PATIENT,P1,market,patient,event market agrees with patient market,PASS,0,10000,0.0,market mismatches=0,event and patient market_code agree,Market inconsistencies threaten stratified interpretation.
MARKET_FK_PATIENT_JOURNEY,P1,market,patient_journey,event market agrees with patient market,PASS,0,10000,0.0,market mismatches=0,event and patient market_code agree,Market inconsistencies threaten stratified interpretation.
MARKET_FK_PATIENT_SPLIT,P1,market,patient_split,event market agrees with patient market,PASS,0,10000,0.0,market mismatches=0,event and patient market_code agree,Market inconsistencies threaten stratified interpretation.
MARKET_FK_PRESCRIPTION_EVENT,P1,market,prescription_event,event market agrees with patient market,PASS,0,26306,0.0,market mismatches=0,event and patient market_code agree,Market inconsistencies threaten stratified interpretation.
MARKET_FK_REFERRAL,P1,market,referral,event market agrees with patient market,PASS,0,5419,0.0,market mismatches=0,event and patient market_code agree,Market inconsistencies threaten stratified interpretation.
MARKET_FK_TREATMENT_EPISODE,P1,market,treatment_episode,event market agrees with patient market,PASS,0,2369,0.0,market mismatches=0,event and patient market_code agree,Market inconsistencies threaten stratified interpretation.
MARKET_FK_TREATMENT_REGIMEN,P1,market,treatment_regimen,event market agrees with patient market,PASS,0,2369,0.0,market mismatches=0,event and patient market_code agree,Market inconsistencies threaten stratified interpretation.
MARKET_FK_TREATMENT_REGIMEN_COMPONENT,P1,market,treatment_regimen_component,event market agrees with patient market,PASS,0,4230,0.0,market mismatches=0,event and patient market_code agree,Market inconsistencies threaten stratified interpretation.
DATE_ORDER_ACTIVE_SURVEILLANCE_AS_EXIT_DATE_PLANNED_TREATMENT_START_DATE,P1,temporal,active_surveillance,as_exit_date <= planned_treatment_start_date,PASS,0,5055,0.0,reversed pairs=0,0 reversed dated pairs,Impossible chronology prevents valid longitudinal analysis.
