driver_category,observed_proxy,affected_outcome,segment,evidence_type,association_direction,magnitude,confidence,limitation,required_validation,possible_intervention,owner,success_KPI
provider,care_setting,switched_treatment,ALL,PREDICTIVE,MODEL_DEPENDENT,Mean PR-AUC drop=0.0175,MEDIUM,"Permutation importance measures predictive dependence, not direction or causality; correlated features share importance.",Repeat on a locked external period and inspect calibration/subgroup stability.,Audit pathway handoffs and timestamp completeness in the affected segment,Commercial Operations + Data Strategy,Documented referral/handoff completion and 90-day outcome coverage
administrative,market_code,switched_treatment,ALL,PREDICTIVE,MODEL_DEPENDENT,Mean PR-AUC drop=0.0160,MEDIUM,"Permutation importance measures predictive dependence, not direction or causality; correlated features share importance.",Repeat on a locked external period and inspect calibration/subgroup stability.,Validate access proxy and measure administrative pathway delay,Market Access + Data Strategy,Censor-aware time-to-initiation and missingness by segment
provider,provider_volume_band,switched_treatment,ALL,PREDICTIVE,MODEL_DEPENDENT,Mean PR-AUC drop=0.0146,MEDIUM,"Permutation importance measures predictive dependence, not direction or causality; correlated features share importance.",Repeat on a locked external period and inspect calibration/subgroup stability.,Audit pathway handoffs and timestamp completeness in the affected segment,Commercial Operations + Data Strategy,Documented referral/handoff completion and 90-day outcome coverage
pathway,prior_healthcare_utilization_180d,restarted_after_gap,ALL,PREDICTIVE,MODEL_DEPENDENT,Mean PR-AUC drop=0.0109,MEDIUM,"Permutation importance measures predictive dependence, not direction or causality; correlated features share importance.",Repeat on a locked external period and inspect calibration/subgroup stability.,Validate the operational measurement and reproduce association in an independent period,Data Strategy,Reproducible association and calibrated subgroup performance
clinical,frailty_proxy,restarted_after_gap,ALL,PREDICTIVE,MODEL_DEPENDENT,Mean PR-AUC drop=0.0108,MEDIUM,"Permutation importance measures predictive dependence, not direction or causality; correlated features share importance.",Repeat on a locked external period and inspect calibration/subgroup stability.,Medical review of proxy definition and confounding; no treatment recommendation,Medical + Data Strategy,Validated eligibility/measurement completeness by segment
provider,provider_volume_band,non_initiated_within_90_days,ALL,PREDICTIVE,MODEL_DEPENDENT,Mean PR-AUC drop=0.0073,LOW,"Permutation importance measures predictive dependence, not direction or causality; correlated features share importance.",Repeat on a locked external period and inspect calibration/subgroup stability.,Audit pathway handoffs and timestamp completeness in the affected segment,Commercial Operations + Data Strategy,Documented referral/handoff completion and 90-day outcome coverage
provider,provider_specialty,restarted_after_gap,ALL,PREDICTIVE,MODEL_DEPENDENT,Mean PR-AUC drop=0.0073,LOW,"Permutation importance measures predictive dependence, not direction or causality; correlated features share importance.",Repeat on a locked external period and inspect calibration/subgroup stability.,Audit pathway handoffs and timestamp completeness in the affected segment,Commercial Operations + Data Strategy,Documented referral/handoff completion and 90-day outcome coverage
access,access_index,switched_treatment,ALL,PREDICTIVE,MODEL_DEPENDENT,Mean PR-AUC drop=0.0062,LOW,"Permutation importance measures predictive dependence, not direction or causality; correlated features share importance.",Repeat on a locked external period and inspect calibration/subgroup stability.,Validate access proxy and measure administrative pathway delay,Market Access + Data Strategy,Censor-aware time-to-initiation and missingness by segment
patient,insurance_type,restarted_after_gap,ALL,PREDICTIVE,MODEL_DEPENDENT,Mean PR-AUC drop=0.0058,LOW,"Permutation importance measures predictive dependence, not direction or causality; correlated features share importance.",Repeat on a locked external period and inspect calibration/subgroup stability.,Validate access proxy and measure administrative pathway delay,Market Access + Data Strategy,Censor-aware time-to-initiation and missingness by segment
data quality,referral_proxy_at_eligibility,non_initiated_within_90_days,ALL,DATA QUALITY SIGNAL,NOT VERIFIED,0 pre-index referral records in the primary initiation cohort,HIGH,"Referral events occur after eligibility, so using them for initiation prediction would leak future pathway information.",Confirm real operational timestamp availability and prediction moment with Commercial and Data Strategy.,Improve referral timestamp capture before any future predictive use,Data Strategy + Commercial Operations,Percentage of referrals timestamped before prediction index
data quality,baseline_utilization_and_provider_specialty,non_initiated_within_90_days,ALL,DATA QUALITY SIGNAL,NO_VARIATION,Only diagnosis encounter at eligibility; provider specialty is urology for all rows,HIGH,Lack of pre-index history prevents meaningful utilization or specialty driver estimation.,Assess availability of 180/365-day pre-index claims/encounters.,Extend governed baseline data collection before driver re-estimation,Data Strategy,Baseline observation completeness at 180 and 365 days
