source_group,source_table,source_file,column_name,data_type,missing_percentage,unique_values,example_values,numeric_min,numeric_q05,numeric_q25,numeric_median,numeric_q75,numeric_q95,numeric_max,date_min,date_max,likely_semantic_role,timing_classification,possible_leakage_risk,missingness_interpretation,data_quality_concerns
analytical,diagnosis,data/releases/BAYER_PROSTATE_PATIENT_JOURNEY_SYNTHETIC_v2.1.0_20260825T112627Z/analytical_dataset/diagnosis.parquet,gleason_primary_pattern,Int64,4.12,3,4 | 3 | 5,3.0,3.0,3.0,4.0,4.0,5.0,5.0,,,clinical_state_or_measure,baseline_or_source_dependent,UNKNOWN until source timing is confirmed,collected_but_unavailable_or_unknown,none observed in univariate profile
analytical,diagnosis,data/releases/BAYER_PROSTATE_PATIENT_JOURNEY_SYNTHETIC_v2.1.0_20260825T112627Z/analytical_dataset/diagnosis.parquet,gleason_score,Int64,4.12,5,8 | 6 | 7,6.0,6.0,7.0,8.0,9.0,9.0,10.0,,,clinical_state_or_measure,diagnosis,LOW at the documented index,collected_but_unavailable_or_unknown,none observed in univariate profile
analytical,diagnosis,data/releases/BAYER_PROSTATE_PATIENT_JOURNEY_SYNTHETIC_v2.1.0_20260825T112627Z/analytical_dataset/diagnosis.parquet,gleason_secondary_pattern,Int64,4.12,3,4 | 3 | 5,3.0,3.0,3.0,4.0,4.0,5.0,5.0,,,clinical_state_or_measure,baseline_or_source_dependent,UNKNOWN until source timing is confirmed,collected_but_unavailable_or_unknown,none observed in univariate profile
analytical,diagnosis,data/releases/BAYER_PROSTATE_PATIENT_JOURNEY_SYNTHETIC_v2.1.0_20260825T112627Z/analytical_dataset/diagnosis.parquet,hormone_sensitive_confirmation_date,datetime64[us],76.31,1434,2023-05-21 | 2024-03-31 | 2022-03-28,,,,,,,,2019-01-02,2024-09-29,temporal,event_time,CONDITIONAL: require date <= analysis/prediction cutoff,collected_but_unavailable_or_unknown,high missingness (76.3%); some date values do not parse
analytical,diagnosis,data/releases/BAYER_PROSTATE_PATIENT_JOURNEY_SYNTHETIC_v2.1.0_20260825T112627Z/analytical_dataset/diagnosis.parquet,hormone_sensitive_flag,bool,0.0,2,True | False,,,,,,,,,,indicator,diagnosis,LOW at the documented index,collected_but_unavailable_or_unknown,none observed in univariate profile
analytical,diagnosis,data/releases/BAYER_PROSTATE_PATIENT_JOURNEY_SYNTHETIC_v2.1.0_20260825T112627Z/analytical_dataset/diagnosis.parquet,isup_grade_group,Int64,4.12,5,4 | 1 | 3,1.0,1.0,2.0,4.0,5.0,5.0,5.0,,,clinical_state_or_measure,diagnosis,LOW at the documented index,collected_but_unavailable_or_unknown,none observed in univariate profile
analytical,diagnosis,data/releases/BAYER_PROSTATE_PATIENT_JOURNEY_SYNTHETIC_v2.1.0_20260825T112627Z/analytical_dataset/diagnosis.parquet,localized_flag,bool,0.0,2,False | True,,,,,,,,,,indicator,baseline_or_source_dependent,UNKNOWN until source timing is confirmed,collected_but_unavailable_or_unknown,none observed in univariate profile
analytical,diagnosis,data/releases/BAYER_PROSTATE_PATIENT_JOURNEY_SYNTHETIC_v2.1.0_20260825T112627Z/analytical_dataset/diagnosis.parquet,locally_advanced_flag,bool,0.0,2,False | True,,,,,,,,,,indicator,baseline_or_source_dependent,UNKNOWN until source timing is confirmed,collected_but_unavailable_or_unknown,none observed in univariate profile
analytical,diagnosis,data/releases/BAYER_PROSTATE_PATIENT_JOURNEY_SYNTHETIC_v2.1.0_20260825T112627Z/analytical_dataset/diagnosis.parquet,market_code,str,0.0,7,US | DE | JP,,,,,,,,,,market_or_pathway_segment,baseline,LOW at the documented index,collected_but_unavailable_or_unknown,none observed in univariate profile
analytical,diagnosis,data/releases/BAYER_PROSTATE_PATIENT_JOURNEY_SYNTHETIC_v2.1.0_20260825T112627Z/analytical_dataset/diagnosis.parquet,metastatic_date,datetime64[us],71.56,1562,2023-05-21 | 2024-03-31 | 2022-03-28,,,,,,,,2019-01-02,2024-09-29,temporal,event_time,CONDITIONAL: require date <= analysis/prediction cutoff,collected_but_unavailable_or_unknown,high missingness (71.6%); some date values do not parse
analytical,diagnosis,data/releases/BAYER_PROSTATE_PATIENT_JOURNEY_SYNTHETIC_v2.1.0_20260825T112627Z/analytical_dataset/diagnosis.parquet,metastatic_flag,bool,0.0,2,True | False,,,,,,,,,,clinical_state_or_measure,diagnosis,LOW at the documented index,collected_but_unavailable_or_unknown,none observed in univariate profile
analytical,diagnosis,data/releases/BAYER_PROSTATE_PATIENT_JOURNEY_SYNTHETIC_v2.1.0_20260825T112627Z/analytical_dataset/diagnosis.parquet,metastatic_site,str,0.0,6,bone | not_applicable | lymph_node,,,,,,,,,,clinical_state_or_measure,baseline_or_source_dependent,UNKNOWN until source timing is confirmed,collected_but_unavailable_or_unknown,none observed in univariate profile
analytical,diagnosis,data/releases/BAYER_PROSTATE_PATIENT_JOURNEY_SYNTHETIC_v2.1.0_20260825T112627Z/analytical_dataset/diagnosis.parquet,patient_id,str,0.0,10000,<direct/quasi-identifier values masked>,,,,,,,,,,identifier_or_foreign_key,identifier,LOW at the documented index,collected_but_unavailable_or_unknown,none observed in univariate profile
analytical,diagnosis,data/releases/BAYER_PROSTATE_PATIENT_JOURNEY_SYNTHETIC_v2.1.0_20260825T112627Z/analytical_dataset/diagnosis.parquet,prostate_cancer_flag,bool,0.0,1,True,,,,,,,,,,indicator,baseline_or_source_dependent,UNKNOWN until source timing is confirmed,collected_but_unavailable_or_unknown,constant or all-missing field
analytical,diagnosis,data/releases/BAYER_PROSTATE_PATIENT_JOURNEY_SYNTHETIC_v2.1.0_20260825T112627Z/analytical_dataset/diagnosis.parquet,prostate_stage,str,0.0,4,metastatic | localized | locally_advanced,,,,,,,,,,clinical_state_or_measure,diagnosis,LOW at the documented index,collected_but_unavailable_or_unknown,none observed in univariate profile
analytical,diagnosis,data/releases/BAYER_PROSTATE_PATIENT_JOURNEY_SYNTHETIC_v2.1.0_20260825T112627Z/analytical_dataset/diagnosis.parquet,psa_value,float64,4.88,926,34.1 | 27.9 | 35.0,0.9,4.2,9.2,16.1,27.8,60.7,324.8,,,clinical_state_or_measure,diagnosis,LOW at the documented index,collected_but_unavailable_or_unknown,none observed in univariate profile
analytical,diagnosis,data/releases/BAYER_PROSTATE_PATIENT_JOURNEY_SYNTHETIC_v2.1.0_20260825T112627Z/analytical_dataset/diagnosis.parquet,risk_group,str,0.0,4,high | low | intermediate,,,,,,,,,,categorical_or_descriptive,diagnosis,LOW at the documented index,collected_but_unavailable_or_unknown,none observed in univariate profile
analytical,disease_state_event,data/releases/BAYER_PROSTATE_PATIENT_JOURNEY_SYNTHETIC_v2.1.0_20260825T112627Z/analytical_dataset/disease_state_event.parquet,clinical_state_model_version,str,0.0,1,CLINICAL-STATE-v2.1,,,,,,,,,,categorical_or_descriptive,baseline_or_source_dependent,UNKNOWN until source timing is confirmed,collected_but_unavailable_or_unknown,constant or all-missing field
analytical,disease_state_event,data/releases/BAYER_PROSTATE_PATIENT_JOURNEY_SYNTHETIC_v2.1.0_20260825T112627Z/analytical_dataset/disease_state_event.parquet,disease_state_event_id,str,0.0,10177,<direct/quasi-identifier values masked>,,,,,,,,,,identifier_or_foreign_key,baseline_or_source_dependent,UNKNOWN until source timing is confirmed,collected_but_unavailable_or_unknown,none observed in univariate profile
analytical,disease_state_event,data/releases/BAYER_PROSTATE_PATIENT_JOURNEY_SYNTHETIC_v2.1.0_20260825T112627Z/analytical_dataset/disease_state_event.parquet,market_code,str,0.0,7,US | DE | JP,,,,,,,,,,market_or_pathway_segment,baseline,LOW at the documented index,collected_but_unavailable_or_unknown,none observed in univariate profile
analytical,disease_state_event,data/releases/BAYER_PROSTATE_PATIENT_JOURNEY_SYNTHETIC_v2.1.0_20260825T112627Z/analytical_dataset/disease_state_event.parquet,patient_id,str,0.0,10000,<direct/quasi-identifier values masked>,,,,,,,,,,identifier_or_foreign_key,identifier,LOW at the documented index,collected_but_unavailable_or_unknown,none observed in univariate profile
analytical,disease_state_event,data/releases/BAYER_PROSTATE_PATIENT_JOURNEY_SYNTHETIC_v2.1.0_20260825T112627Z/analytical_dataset/disease_state_event.parquet,previous_state,str,98.260784,1,mHSPC,,,,,,,,,,categorical_or_descriptive,baseline_or_source_dependent,UNKNOWN until source timing is confirmed,collected_but_unavailable_or_unknown,high missingness (98.3%); constant or all-missing field
analytical,disease_state_event,data/releases/BAYER_PROSTATE_PATIENT_JOURNEY_SYNTHETIC_v2.1.0_20260825T112627Z/analytical_dataset/disease_state_event.parquet,state,str,0.0,6,mHSPC | localized | locally_advanced,,,,,,,,,,categorical_or_descriptive,baseline_or_source_dependent,UNKNOWN until source timing is confirmed,collected_but_unavailable_or_unknown,none observed in univariate profile
analytical,disease_state_event,data/releases/BAYER_PROSTATE_PATIENT_JOURNEY_SYNTHETIC_v2.1.0_20260825T112627Z/analytical_dataset/disease_state_event.parquet,state_date,datetime64[us],0.0,2151,2023-05-21 | 2020-04-19 | 2020-10-23,,,,,,,,2019-01-01,2025-12-24,temporal,event_time,CONDITIONAL: require date <= analysis/prediction cutoff,collected_but_unavailable_or_unknown,none observed in univariate profile
analytical,disease_state_event,data/releases/BAYER_PROSTATE_PATIENT_JOURNEY_SYNTHETIC_v2.1.0_20260825T112627Z/analytical_dataset/disease_state_event.parquet,synthetic_event_flag,bool,0.0,1,True,,,,,,,,,,indicator,baseline_or_source_dependent,UNKNOWN until source timing is confirmed,collected_but_unavailable_or_unknown,constant or all-missing field
analytical,disease_state_event,data/releases/BAYER_PROSTATE_PATIENT_JOURNEY_SYNTHETIC_v2.1.0_20260825T112627Z/analytical_dataset/disease_state_event.parquet,transition_reason,str,0.0,2,index_diagnosis | synthetic_progression,,,,,,,,,,categorical_or_descriptive,baseline_or_source_dependent,UNKNOWN until source timing is confirmed,collected_but_unavailable_or_unknown,none observed in univariate profile
analytical,eligibility,data/releases/BAYER_PROSTATE_PATIENT_JOURNEY_SYNTHETIC_v2.1.0_20260825T112627Z/analytical_dataset/eligibility.parquet,censor_date_at_generation,datetime64[us],0.0,1049,2025-12-31 | 2024-08-29 | 2023-04-18,,,,,,,,2019-05-19,2025-12-31,temporal,outcome_or_post_index,HIGH unless used only as target/descriptive endpoint,collected_but_unavailable_or_unknown,none observed in univariate profile
analytical,eligibility,data/releases/BAYER_PROSTATE_PATIENT_JOURNEY_SYNTHETIC_v2.1.0_20260825T112627Z/analytical_dataset/eligibility.parquet,clinical_exclusion_reason,str,29.43,6,disease_state_outside_configured_denominator | drug_interaction | severe_cardiovascular_risk,,,,,,,,,,categorical_or_descriptive,eligibility,CONDITIONAL: enforce documented availability cutoff,collected_but_unavailable_or_unknown,high missingness (29.4%)
analytical,eligibility,data/releases/BAYER_PROSTATE_PATIENT_JOURNEY_SYNTHETIC_v2.1.0_20260825T112627Z/analytical_dataset/eligibility.parquet,contraindication_flag,bool,0.0,2,False | True,,,,,,,,,,indicator,eligibility,CONDITIONAL: enforce documented availability cutoff,collected_but_unavailable_or_unknown,none observed in univariate profile
analytical,eligibility,data/releases/BAYER_PROSTATE_PATIENT_JOURNEY_SYNTHETIC_v2.1.0_20260825T112627Z/analytical_dataset/eligibility.parquet,contraindication_reason,str,96.36,5,drug_interaction | severe_cardiovascular_risk | functional_status,,,,,,,,,,categorical_or_descriptive,baseline_or_source_dependent,UNKNOWN until source timing is confirmed,collected_but_unavailable_or_unknown,high missingness (96.4%)
analytical,eligibility,data/releases/BAYER_PROSTATE_PATIENT_JOURNEY_SYNTHETIC_v2.1.0_20260825T112627Z/analytical_dataset/eligibility.parquet,data_sufficiency_flag,bool,0.0,2,True | False,,,,,,,,,,indicator,eligibility,CONDITIONAL: enforce documented availability cutoff,collected_but_unavailable_or_unknown,none observed in univariate profile
analytical,eligibility,data/releases/BAYER_PROSTATE_PATIENT_JOURNEY_SYNTHETIC_v2.1.0_20260825T112627Z/analytical_dataset/eligibility.parquet,eligibility_date,datetime64[us],77.19,1406,2023-05-21 | 2024-03-31 | 2022-03-28,,,,,,,,2019-01-02,2024-09-29,temporal,eligibility,CONDITIONAL: enforce documented availability cutoff,collected_but_unavailable_or_unknown,high missingness (77.2%); some date values do not parse
analytical,eligibility,data/releases/BAYER_PROSTATE_PATIENT_JOURNEY_SYNTHETIC_v2.1.0_20260825T112627Z/analytical_dataset/eligibility.parquet,eligibility_flag,bool,0.0,2,True | False,,,,,,,,,,indicator,eligibility,CONDITIONAL: enforce documented availability cutoff,collected_but_unavailable_or_unknown,none observed in univariate profile
analytical,eligibility,data/releases/BAYER_PROSTATE_PATIENT_JOURNEY_SYNTHETIC_v2.1.0_20260825T112627Z/analytical_dataset/eligibility.parquet,eligibility_id,str,0.0,10000,<direct/quasi-identifier values masked>,,,,,,,,,,identifier_or_foreign_key,baseline_or_source_dependent,UNKNOWN until source timing is confirmed,collected_but_unavailable_or_unknown,none observed in univariate profile
analytical,eligibility,data/releases/BAYER_PROSTATE_PATIENT_JOURNEY_SYNTHETIC_v2.1.0_20260825T112627Z/analytical_dataset/eligibility.parquet,eligibility_reason,str,77.19,1,meets_configured_mhspc_denominator,,,,,,,,,,categorical_or_descriptive,eligibility,CONDITIONAL: enforce documented availability cutoff,collected_but_unavailable_or_unknown,high missingness (77.2%); constant or all-missing field
analytical,eligibility,data/releases/BAYER_PROSTATE_PATIENT_JOURNEY_SYNTHETIC_v2.1.0_20260825T112627Z/analytical_dataset/eligibility.parquet,eligibility_rule_version,str,0.0,1,ARPI-ELIG-SYN-v2.0,,,,,,,,,,categorical_or_descriptive,eligibility,CONDITIONAL: enforce documented availability cutoff,collected_but_unavailable_or_unknown,constant or all-missing field
analytical,eligibility,data/releases/BAYER_PROSTATE_PATIENT_JOURNEY_SYNTHETIC_v2.1.0_20260825T112627Z/analytical_dataset/eligibility.parquet,eligibility_status,str,0.0,3,ELIGIBLE | CLINICALLY_INELIGIBLE | INSUFFICIENT_DATA,,,,,,,,,,categorical_or_descriptive,baseline_or_source_dependent,UNKNOWN until source timing is confirmed,collected_but_unavailable_or_unknown,none observed in univariate profile
